iter	Passed	Remaining
1279	102875	57912
1280	102909	57805
1281	102942	57699
1282	102975	57592
1283	103007	57485
1284	103045	57381
1285	103078	57274
1286	103119	57172
1287	103226	57107
1288	103282	57014
1289	103318	56909
1290	103367	56812
1291	103452	56734
1292	103501	56637
1293	103540	56534
1294	103586	56436
1295	103628	56335
1296	103664	56231
1297	103697	56126
1298	103733	56022
1299	103771	55920
1300	103858	55843
1301	103937	55763
1302	103988	55668
1303	104026	55565
1304	104080	55472
1305	104121	55371
1306	104156	55268
1307	104202	55170
1308	104265	55082
1309	104318	54988
1310	104368	54893
1311	104415	54796
1312	104519	54729
1313	104579	54639
1314	104629	54544
1315	104667	54442
1316	104741	54360
1317	104801	54270
1318	104862	54181
1319	104929	54095
1320	104995	54008
1321	105045	53914
1322	105103	53824
1323	105146	53725
1324	105184	53624
1325	105229	53528
1326	105269	53428
1327	105309	53329
1328	105347	53229
1329	105412	53142
1330	105468	53051
1331	105519	52958
1332	105560	52859
1333	105639	52780
1334	105694	52688
1335	105736	52590
1336	105772	52490
1337	105840	52405
1338	105914	52323
1339	105957	52227
1340	105992	52126
1341	106036	52029
1342	106136	51961
1343	106193	51871
1344	106233	51772
1345	106319	51697
1346	106375	51607
1347	106427	51515
1348	106466	51416
1349	106533	51331
1350	106593	51243
1351	106639	51149
1352	106673	51048
1353	106772	50979
1354	106849	50899
1355	106903	50808
1356	106942	50711
1357	106978	50611
1358	107015	50513
1359	107045	50411
1360	107079	50311
1361	107112	50211
1362	107175	50125
1363	107223	50032
1364	107305	49955
1365	107367	49868
1366	107408	49772
1367	107472	49687
1368	107526	49597
1369	107582	49508
1370	107615	49408
1371	107727	49345
1372	107817	49272
1373	107856	49175
1374	107890	49076
1375	107931	48981
1376	107967	48883
1377	107999	48784
1378	108034	48686
1379	108071	48589
1380	108147	48509
1381	108216	48427
1382	108266	48335
1383	108298	48236
1384	108337	48141
1385	108369	48042
1386	108401	47943
1387	108434	47845
1388	108462	47745
1389	108500	47649
1390	108601	47581
1391	108706	47515
1392	108748	47421
1393	108789	47326
1394	108845	47239
1395	108904	47152
1396	108950	47061
1397	108993	46968
1398	109077	46892
1399	109133	46804
1400	109181	46713
1401	109220	46619
1402	109280	46533
1403	109341	46448
1404	109385	46356
1405	109422	46261
1406	109489	46178
1407	109576	46104
1408	109663	46030
1409	109710	45939
1410	109763	45851
1411	109805	45758
1412	109843	45664
1413	109870	45565
1414	109897	45466
1415	109948	45378
1416	109979	45280
1417	110008	45183
1418	110037	45085
1419	110073	44991
1420	110107	44895
1421	110160	44808
1422	110216	44722
1423	110286	44641
1424	110323	44547
1425	110367	44456
1426	110414	44367
1427	110444	44270
1428	110480	44176
1429	110515	44082
1430	110549	43987
1431	110613	43905
1432	110695	43829
1433	110758	43746
1434	110793	43652
1435	110824	43557
1436	110853	43461
1437	110881	43365
1438	110909	43268
1439	110955	43179
1440	110992	43086
1441	111018	42989
1442	111052	42896
1443	111128	42818
1444	111175	42730
1445	111204	42634
1446	111232	42539
1447	111259	42443
1448	111288	42348
1449	111319	42253
1450	111352	42160
1451	111386	42067
1452	111414	41972
1453	111445	41878
1454	111511	41797
1455	111602	41726
1456	111659	41642
1457	111694	41550
1458	111733	41459
1459	111760	41364
1460	111792	41271
1461	111818	41176
1462	111844	41081
1463	111872	40986
1464	111931	40904
1465	111982	40818
1466	112052	40739
1467	112084	40646
1468	112116	40554
1469	112145	40460
1470	112174	40367
1471	112199	40272
1472	112230	40180
1473	112261	40087
1474	112289	39994
1475	112338	39908
1476	112368	39816
1477	112394	39722
1478	112445	39637
1479	112514	39558
1480	112550	39468
1481	112576	39375
1482	112603	39282
1483	112632	39189
1484	112664	39098
1485	112698	39007
1486	112726	38915
1487	112756	38824
1488	112791	38734
1489	112859	38655
1490	112901	38568
1491	112974	38491
1492	113007	38401
1493	113042	38311
1494	113070	38219
1495	113102	38129
1496	113149	38044
1497	113193	37957
1498	113257	37878
1499	113312	37796
1500	113376	37716
1501	113417	37629
1502	113454	37541
1503	113490	37452
1504	113517	37361
1505	113589	37284
1506	113641	37201
1507	113691	37117
1508	113738	37032
1509	113780	36946
1510	113823	36860
1511	113853	36770
1512	113880	36679
1513	113934	36597
1514	113966	36508
1515	113995	36418
1516	114026	36328
1517	114056	36239
1518	114089	36150
1519	114122	36062
1520	114170	35978
1521	114218	35894
1522	114263	35810
1523	114313	35727
1524	114356	35642
1525	114388	35554
1526	114424	35467
1527	114450	35376
1528	114494	35292
1529	114533	35206
1530	114564	35118
1531	114591	35028
1532	114638	34945
1533	114753	34882
1534	114799	34798
1535	114858	34719
1536	114927	34642
1537	114975	34560
1538	115010	34473
1539	115090	34399
1540	115140	34317
1541	115184	34234
1542	115218	34147
1543	115277	34067
1544	115348	33992
1545	115420	33916
1546	115457	33830
1547	115488	33743
1548	115512	33653
1549	115542	33566
1550	115571	33478
1551	115596	33389
1552	115622	33301
1553	115676	33220
1554	115726	33139
1555	115813	33068
1556	115865	32987
1557	115899	32901
1558	115927	32813
1559	115955	32726
1560	115996	32642
1561	116041	32559
1562	116094	32479
1563	116128	32394
1564	116185	32314
1565	116221	32230
1566	116256	32145
1567	116290	32059
1568	116317	31972
1569	116352	31887
1570	116382	31801
1571	116417	31716
1572	116466	31635
1573	116519	31555
1574	116553	31470
1575	116579	31383
1576	116645	31307
1577	116676	31222
1578	116702	31135
1579	116747	31053
1580	116791	30972
1581	116838	30890
1582	116875	30807
1583	116922	30726
1584	116980	30648
1585	117026	30567
1586	117082	30488
1587	117118	30404
1588	117148	30319
1589	117195	30239
1590	117222	30153
1591	117254	30069
1592	117280	29983
1593	117307	29897
1594	117352	29816
1595	117405	29737
1596	117441	29654
1597	117469	29569
1598	117498	29484
1599	117574	29411
1600	117632	29334
1601	117675	29253
1602	117709	29170
1603	117740	29086
1604	117771	29002
1605	117805	28919
1606	117838	28836
1607	117868	28752
1608	117926	28675
1609	117970	28594
1610	118049	28522
1611	118093	28442
1612	118135	28361
1613	118165	28277
1614	118192	28193
1615	118257	28118
1616	118299	28037
1617	118336	27955
1618	118366	27872
1619	118423	27795
1620	118466	27715
1621	118548	27644
1622	118594	27564
1623	118628	27482
1624	118669	27402
1625	118730	27326
1626	118770	27245
1627	118800	27162
1628	118854	27085
1629	118894	27004
1630	118919	26921
1631	118948	26838
1632	118996	26759
1633	119025	26676
1634	119061	26595
1635	119090	26513
1636	119135	26434
1637	119190	26357
1638	119223	26275
1639	119261	26195
1640	119290	26113
1641	119366	26040
1642	119416	25963
1643	119469	25886
1644	119530	25810
1645	119581	25733
1646	119663	25662
1647	119713	25585
1648	119744	25503
1649	119788	25425
1650	119845	25349
1651	119879	25268
1652	119945	25194
1653	119981	25114
1654	120016	25033
1655	120094	24962
1656	120139	24883
1657	120177	24804
1658	120205	24722
1659	120239	24642
1660	120289	24565
